file_path,emotion_code,emotion_label,actor_id,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39
../data/ravdess/Actor_02/03-01-03-02-02-01-02.wav,03,happy,02,-534.45734,38.031597,-22.947289,4.5904765,-6.45614,-11.968885,-11.765814,-14.9696865,-4.1226363,-3.6655285,-11.60772,-2.2014947,-10.770111,-1.0105664,-6.571298,-7.768199,-2.5780644,-4.6129026,-4.0364623,0.9169903,1.4246173,-1.9639835,0.15885086,2.2319329,1.5670302,2.191893,2.4418323,2.570826,-0.6895231,1.2021208,1.5053355,4.879689,4.869136,2.6619105,1.6028659,3.0414948,0.4315135,2.210431,1.8405421,2.7018206
../data/ravdess/Actor_07/03-01-07-01-02-01-07.wav,07,disgust,07,-719.8946,65.27997,15.967641,13.939168,11.110053,1.0393789,-6.039924,-2.477087,2.926788,0.20515831,0.10597994,1.0961295,2.7100232,-0.4843155,3.2191582,1.6987047,-3.767403,-0.17462122,-0.24223305,0.1822154,-5.313865,-3.2197406,-2.6758037,-3.789541,-1.4471893,1.3585929,-2.9518363,0.44890875,-2.6967142,-1.6961999,-3.9148755,0.43465373,-2.1102731,1.020583,-3.3663745,-1.8473781,-4.7802835,-1.5406425,-0.99372154,1.7215142
../data/ravdess/Actor_09/03-01-08-02-01-01-09.wav,08,surprised,09,-635.0711,52.684208,3.6204898,13.895631,8.084744,-4.204375,-2.8321443,-2.9080832,-1.769936,-3.2795887,-4.7134624,-1.4730989,-2.8916595,-2.603502,-1.9159409,-1.7355349,0.08815664,-2.5064538,-2.7075398,1.58243,-5.1483617,-1.8991165,-4.531926,-2.2978778,-4.601532,-0.37173745,-3.6250286,-1.7815207,-2.6816628,-1.1650017,-1.4043838,-1.0959365,-3.207511,-1.0335851,-1.4288372,1.0509384,-0.88118386,-0.06399392,-1.7790905,-0.011185279
../data/ravdess/Actor_13/03-01-08-02-02-01-13.wav,08,surprised,13,-569.59863,48.375137,0.8948544,3.6051128,2.6562188,1.9218398,-8.736442,-5.9378424,-6.949694,-2.0067565,-2.035392,-5.73383,1.017494,-3.4064093,-4.469605,2.0543876,-7.0655594,-0.63090336,1.0315999,-1.8064065,-2.0187814,-1.6809069,-1.4279926,-0.7642344,-2.397506,0.9667237,-2.2366354,0.048502207,-0.29484096,-0.6722297,-1.5862643,0.039359286,-0.8807061,1.1031016,0.7609799,1.3297814,0.33860716,0.6772597,-1.9250513,0.3902466
../data/ravdess/Actor_18/03-01-05-02-02-02-18.wav,05,angry,18,-368.29218,-1.4989997,-32.311813,-11.2415495,-17.770937,-4.492569,-5.769096,-5.8290033,-8.921157,-4.417964,-7.934256,-5.873627,2.9019055,8.961415,13.30129,8.420711,-1.6328065,-6.1917076,-2.8883207,2.958451,0.25953546,-1.110924,-8.285797,-1.3812393,1.5082339,1.6041982,0.020747451,1.7565988,2.4105985,3.3578691,-4.300968,-1.5703043,0.36912453,-0.00020678577,-1.5216842,1.0209428,1.6866113,1.6887504,-0.7369226,2.3554342
../data/ravdess/Actor_14/03-01-04-02-01-02-14.wav,04,sad,14,-678.9607,42.616314,-6.071117,10.16927,-7.242933,-6.265599,-9.719107,-11.477017,-4.3141246,-1.5157936,-4.784275,-1.0298954,-4.664544,-0.23160481,-1.3772405,-5.1554775,-2.8184218,0.78583723,-2.8975284,1.1922053,1.1976191,1.2136114,2.051072,2.2498026,0.56368893,2.0493395,-0.66802996,1.57696,-1.6220508,1.2516614,0.40236104,2.9819584,1.1354088,1.5724,-0.51127654,0.59908307,-1.2692116,-0.22570671,0.2003681,1.0720783
../data/ravdess/Actor_08/03-01-05-02-02-01-08.wav,05,angry,08,-491.6879,30.020063,-4.5919576,2.3784633,-8.495287,-6.713245,5.8948903,-11.744558,-4.040739,-5.0566235,-2.9487896,-2.4691963,-2.8058116,-0.10716685,-4.5273323,-3.3925488,-2.4004922,-0.8428072,-1.3779496,4.8401175,1.9414563,6.6662283,6.0858207,7.533495,4.287679,5.787647,6.8333426,9.216032,7.75437,5.167879,-0.6761929,1.265048,1.7548413,4.62972,2.5060992,2.5263877,-0.19673464,0.4148898,1.3439612,3.349209
../data/ravdess/Actor_08/03-01-01-01-01-01-08.wav,01,neutral,08,-688.7475,63.248642,8.932153,21.843252,7.3047523,2.143417,5.8973804,-9.04728,2.7432456,-1.7892537,2.2842977,-3.9707355,0.73977464,2.9956393,-1.5914351,0.4232308,-0.032438185,2.9251354,0.31429312,2.8331852,-1.4761449,2.9811077,-1.3476468,2.708655,0.57848114,2.3919306,3.0739899,2.8241293,2.7923777,2.1760108,1.2218068,1.8704287,2.6214418,6.029178,5.476872,5.6205196,3.654584,6.1031933,4.3638287,4.804832
../data/ravdess/Actor_12/03-01-03-02-02-01-12.wav,03,happy,12,-545.1399,40.883186,-18.864498,3.3142934,-1.2485765,-11.074561,-6.1161523,-12.7592125,-9.952271,1.0036752,-10.069662,-2.3698456,-8.548222,-5.1491323,-1.5881885,-8.337995,-8.145944,-1.1855776,-6.114983,-3.0430562,0.065523855,3.2453263,3.849203,8.6817255,8.422246,8.487874,6.737371,4.978892,3.2534158,4.2113137,1.7556205,1.9472342,1.4355924,3.2041175,0.5710365,0.77278167,-0.77231145,2.24833,-0.3224097,-0.3822324
../data/ravdess/Actor_12/03-01-06-01-02-02-12.wav,06,fearful,12,-569.07227,40.582848,-9.763788,3.8113377,-1.904601,-9.758202,-10.511857,-16.713999,-5.1901045,-0.7005072,-10.294978,-3.580089,-7.4427633,-5.1319523,-3.8568792,-6.4264803,-5.7046375,-1.8479737,-4.526684,-0.49607065,3.3279543,5.007186,-0.86020696,0.96544313,-2.8863142,2.4413939,-0.13915451,6.132086,3.9587407,6.8507547,2.4487903,4.0185747,1.3560405,3.3864415,0.34567532,-0.30522478,-0.298253,1.3679929,0.3598666,1.2224928
../data/ravdess/Actor_08/03-01-08-02-01-01-08.wav,08,surprised,08,-553.0785,47.79044,-8.243609,7.8722076,-0.24946925,-0.6615601,-0.024638303,-15.0957985,-2.635334,1.3237264,-4.086614,-6.097185,-0.59512097,2.0652678,0.057844,1.449496,1.7133874,4.2295785,3.9533284,6.4599566,1.6390142,5.321322,2.4451544,5.4804215,2.5660763,5.2307982,3.2487738,3.8082173,1.9228773,3.1891057,0.8402483,3.5277412,2.7468185,3.358227,2.7416584,3.965613,2.4996126,4.211102,3.0479915,3.7877822
